transaction_id,date,product_id,name,price,customer_id,country,country_id,quantity,year,quarter,month,week,day,day_name
536365,2018-12-01,21730,Glass Star Frosted T-Light Holder,14.61,17850,United Kingdom,UNI14,6,2018,4,12,48,1,Saturday
536365,2018-12-01,22752,Set 7 Babushka Nesting Boxes,18.09,17850,United Kingdom,UNI14,2,2018,4,12,48,1,Saturday
536365,2018-12-01,71053,White Moroccan Metal Lantern,13.72,17850,United Kingdom,UNI14,6,2018,4,12,48,1,Saturday
536365,2018-12-01,84029E,Red Woolly Hottie White Heart,13.72,17850,United Kingdom,UNI14,6,2018,4,12,48,1,Saturday
536365,2018-12-01,84029G,Knitted Union Flag Hot Water Bottle,13.72,17850,United Kingdom,UNI14,6,2018,4,12,48,1,Saturday
536365,2018-12-01,84406B,Cream Cupid Hearts Coat Hanger,13.07,17850,United Kingdom,UNI14,8,2018,4,12,48,1,Saturday
536365,2018-12-01,85123A,Cream Hanging Heart T-Light Holder,12.86,17850,United Kingdom,UNI14,6,2018,4,12,48,1,Saturday
536366,2018-12-01,22632,Hand Warmer Red Retrospot,12.15,17850,United Kingdom,UNI14,6,2018,4,12,48,1,Saturday
536366,2018-12-01,22633,Hand Warmer Union Jack,12.15,17850,United Kingdom,UNI14,6,2018,4,12,48,1,Saturday
536367,2018-12-01,21754,Home Building Block Word,16.35,13047,United Kingdom,UNI14,3,2018,4,12,48,1,Saturday
536367,2018-12-01,21755,Love Building Block Word,16.35,13047,United Kingdom,UNI14,3,2018,4,12,48,1,Saturday
536367,2018-12-01,21777,Recipe Box With Metal Heart,18.4,13047,United Kingdom,UNI14,4,2018,4,12,48,1,Saturday
536367,2018-12-01,22310,Ivory Knitted Mug Cosy,11.94,13047,United Kingdom,UNI14,6,2018,4,12,48,1,Saturday
536367,2018-12-01,22622,Box Of Vintage Alphabet Blocks,20.45,13047,United Kingdom,UNI14,2,2018,4,12,48,1,Saturday
536367,2018-12-01,22623,Box Of Vintage Jigsaw Blocks,15.32,13047,United Kingdom,UNI14,3,2018,4,12,48,1,Saturday
536367,2018-12-01,22745,Poppy's Playhouse Bedroom,12.4,13047,United Kingdom,UNI14,6,2018,4,12,48,1,Saturday
536367,2018-12-01,22748,Poppy's Playhouse Kitchen,12.4,13047,United Kingdom,UNI14,6,2018,4,12,48,1,Saturday
536367,2018-12-01,22749,Feltcraft Princess Charlotte Doll,14.09,13047,United Kingdom,UNI14,8,2018,4,12,48,1,Saturday
536367,2018-12-01,48187,Doormat New England,18.4,13047,United Kingdom,UNI14,4,2018,4,12,48,1,Saturday
